Canton;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
BS  ;        2020;          47;22.11.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          48;29.11.2020;0-64    ;           6;           4;           0;           9;           .
BS  ;        2020;          49;06.12.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          50;13.12.2020;0-64    ;           8;           4;           0;           9;           .
BS  ;        2020;          51;20.12.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          52;27.12.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          53;03.01.2021;0-64    ;           7;           4;           0;           8;           .
BS  ;        2021;           1;10.01.2021;0-64    ;           9;           4;           0;          10;           .
BS  ;        2021;           2;17.01.2021;0-64    ;           9;           4;           0;          10;           .
BS  ;        2021;           3;24.01.2021;0-64    ;           6;           4;           0;          10;           .
BS  ;        2021;           4;31.01.2021;0-64    ;           2;           4;           0;          10;           .
BS  ;        2021;           5;07.02.2021;0-64    ;           8;           4;           0;          10;           .
BS  ;        2021;           6;14.02.2021;0-64    ;           4;           4;           0;          10;           .
BS  ;        2021;           7;21.02.2021;0-64    ;           6;           4;           0;          10;           .
BS  ;        2021;           8;28.02.2021;0-64    ;           2;           4;           0;          10;           .
BS  ;        2021;           9;07.03.2021;0-64    ;           2;           4;           0;          10;           .
BS  ;        2021;          10;14.03.2021;0-64    ;           5;           4;           0;          10;           .
BS  ;        2021;          11;21.03.2021;0-64    ;           3;           4;           0;          10;           .
BS  ;        2021;          12;28.03.2021;0-64    ;           4;           4;           0;          10;           .
BS  ;        2021;          13;04.04.2021;0-64    ;           3;           4;           0;          10;           .
BS  ;        2021;          14;11.04.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          15;18.04.2021;0-64    ;           6;           4;           0;           9;           .
BS  ;        2021;          16;25.04.2021;0-64    ;           8;           4;           0;           9;           .
BS  ;        2021;          17;02.05.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          18;09.05.2021;0-64    ;           1;           4;           0;           9;           .
BS  ;        2021;          19;16.05.2021;0-64    ;           6;           4;           0;           9;           .
BS  ;        2021;          20;23.05.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          21;30.05.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          22;06.06.2021;0-64    ;           5;           4;           0;           9;           .
BS  ;        2021;          23;13.06.2021;0-64    ;           7;           4;           0;           9;           .
BS  ;        2021;          24;20.06.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          25;27.06.2021;0-64    ;           1;           4;           0;           9;           .
BS  ;        2021;          26;04.07.2021;0-64    ;           4;           4;           0;           9;           .
BS  ;        2021;          27;11.07.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          28;18.07.2021;0-64    ;           1;           4;           0;           9;           .
BS  ;        2021;          29;25.07.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          30;01.08.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          31;08.08.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          32;15.08.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          33;22.08.2021;0-64    ;           4;           4;           0;           9;           .
BS  ;        2021;          34;29.08.2021;0-64    ;           5;           4;           0;           9;           .
BS  ;        2021;          35;05.09.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          36;12.09.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          37;19.09.2021;0-64    ;           5;           4;           0;           9;           .
BS  ;        2021;          38;26.09.2021;0-64    ;           3;           4;           0;           9;           .
BS  ;        2021;          39;03.10.2021;0-64    ;           5;           4;           0;           9;           .
BS  ;        2021;          40;10.10.2021;0-64    ;           4;           4;           0;           9;           .
BS  ;        2021;          41;17.10.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          42;24.10.2021;0-64    ;           6;           4;           0;           9;           .
BS  ;        2021;          43;31.10.2021;0-64    ;           5;           4;           0;           9;           .
BS  ;        2021;          44;07.11.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          45;14.11.2021;0-64    ;           4;           4;           0;           9;           .
BS  ;        2021;          46;21.11.2021;0-64    ;           4;           4;           0;           9;           .
BS  ;        2021;          47;28.11.2021;0-64    ;           4;           4;           0;           9;           .
BS  ;        2021;          48;05.12.2021;0-64    ;           2;           4;           0;           9;           .
BS  ;        2021;          49;12.12.2021;0-64    ;           5;           4;           0;           9;           .
BS  ;        2021;          50;19.12.2021;0-64    ;           4;           4;           0;           9;           .
