Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH02;        2021;          42;24.10.2021;0-64    ;          48;          37;          21;          53;           .
CH02;        2021;          43;31.10.2021;0-64    ;          30;          37;          21;          53;           .
CH02;        2021;          44;07.11.2021;0-64    ;          37;          37;          22;          53;           .
CH02;        2021;          45;14.11.2021;0-64    ;          44;          38;          22;          53;           .
CH02;        2021;          46;21.11.2021;0-64    ;          34;          38;          22;          54;           .
CH02;        2021;          47;28.11.2021;0-64    ;          46;          38;          22;          54;           .
CH02;        2021;          48;05.12.2021;0-64    ;          43;          38;          22;          54;           .
CH02;        2021;          49;12.12.2021;0-64    ;          45;          39;          23;          55;           .
CH02;        2021;          50;19.12.2021;0-64    ;          42;          39;          23;          55;           .
CH02;        2021;          51;26.12.2021;0-64    ;          34;          39;          23;          55;           .
CH02;        2021;          52;02.01.2022;0-64    ;        48.8;          39;          23;          56;           .
CH02;        2022;           1;09.01.2022;0-64    ;        42.9;          40;          25;          58;           .
CH02;        2022;           2;16.01.2022;0-64    ;        36.1;          41;          25;          58;           .
CH02;        2022;           3;23.01.2022;0-64    ;        55.4;          41;          25;          58;           .
CH02;        2022;           4;30.01.2022;0-64    ;        48.5;          41;          25;          58;           .
CH02;        2022;           5;06.02.2022;0-64    ;           .;          41;          26;          59;           .
CH02;        2022;           6;13.02.2022;0-64    ;           .;          41;          26;          59;           .
CH02;        2022;           7;20.02.2022;0-64    ;           .;          41;          26;          59;           .
CH02;        2022;           8;27.02.2022;0-64    ;           .;          41;          26;          59;           .
CH02;        2022;           9;06.03.2022;0-64    ;           .;          41;          26;          59;           .
CH02;        2022;          10;13.03.2022;0-64    ;           .;          41;          25;          58;           .
CH02;        2022;          11;20.03.2022;0-64    ;           .;          40;          25;          58;           .
CH02;        2022;          12;27.03.2022;0-64    ;           .;          40;          25;          57;           .
CH02;        2022;          13;03.04.2022;0-64    ;           .;          39;          24;          56;           .
CH02;        2022;          14;10.04.2022;0-64    ;           .;          39;          24;          56;           .
CH02;        2022;          15;17.04.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          16;24.04.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          17;01.05.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          18;08.05.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          19;15.05.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          20;22.05.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          21;29.05.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          22;05.06.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          23;12.06.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          24;19.06.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          25;26.06.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          26;03.07.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          27;10.07.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          28;17.07.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          29;24.07.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          30;31.07.2022;0-64    ;           .;          37;          23;          54;           .
CH02;        2022;          31;07.08.2022;0-64    ;           .;          37;          23;          54;           .
CH02;        2022;          32;14.08.2022;0-64    ;           .;          37;          23;          54;           .
CH02;        2022;          33;21.08.2022;0-64    ;           .;          37;          23;          54;           .
CH02;        2022;          34;28.08.2022;0-64    ;           .;          37;          23;          54;           .
CH02;        2022;          35;04.09.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          36;11.09.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          37;18.09.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          38;25.09.2022;0-64    ;           .;          38;          23;          54;           .
CH02;        2022;          39;02.10.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          40;09.10.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          41;16.10.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          42;23.10.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          43;30.10.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          44;06.11.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          45;13.11.2022;0-64    ;           .;          38;          23;          55;           .
CH02;        2022;          46;20.11.2022;0-64    ;           .;          39;          24;          56;           .
CH02;        2022;          47;27.11.2022;0-64    ;           .;          39;          24;          56;           .
CH02;        2022;          48;04.12.2022;0-64    ;           .;          40;          24;          57;           .
CH02;        2022;          49;11.12.2022;0-64    ;           .;          40;          25;          57;           .
CH02;        2022;          50;18.12.2022;0-64    ;           .;          41;          25;          58;           .
CH02;        2022;          51;25.12.2022;0-64    ;           .;          41;          26;          59;           .
CH02;        2022;          52;01.01.2023;0-64    ;           .;          42;          26;          59;           .
CH03;        2020;           1;05.01.2020;0-64    ;          21;          26;          13;          39;           .
CH03;        2020;           2;12.01.2020;0-64    ;          19;          26;          13;          39;           .
CH03;        2020;           3;19.01.2020;0-64    ;          25;          25;          12;          38;           .
CH03;        2020;           4;26.01.2020;0-64    ;          20;          25;          12;          38;           .
CH03;        2020;           5;02.02.2020;0-64    ;          18;          25;          12;          38;           .
CH03;        2020;           6;09.02.2020;0-64    ;          18;          25;          12;          38;           .
CH03;        2020;           7;16.02.2020;0-64    ;          21;          25;          12;          37;           .
CH03;        2020;           8;23.02.2020;0-64    ;          22;          24;          12;          37;           .
CH03;        2020;           9;01.03.2020;0-64    ;          27;          24;          12;          37;           .
CH03;        2020;          10;08.03.2020;0-64    ;          17;          24;          11;          37;           .
CH03;        2020;          11;15.03.2020;0-64    ;          24;          24;          11;          36;           .
CH03;        2020;          12;22.03.2020;0-64    ;          24;          24;          11;          36;           .
CH03;        2020;          13;29.03.2020;0-64    ;          27;          24;          11;          36;           .
CH03;        2020;          14;05.04.2020;0-64    ;          19;          23;          11;          36;           .
CH03;        2020;          15;12.04.2020;0-64    ;          25;          23;          11;          36;           .
CH03;        2020;          16;19.04.2020;0-64    ;          26;          23;          11;          35;           .
CH03;        2020;          17;26.04.2020;0-64    ;          27;          23;          11;          35;           .
CH03;        2020;          18;03.05.2020;0-64    ;          15;          23;          10;          35;           .
CH03;        2020;          19;10.05.2020;0-64    ;          24;          23;          10;          35;           .
CH03;        2020;          20;17.05.2020;0-64    ;          30;          22;          10;          35;           .
CH03;        2020;          21;24.05.2020;0-64    ;          17;          22;          10;          34;           .
CH03;        2020;          22;31.05.2020;0-64    ;          15;          22;          10;          34;           .
CH03;        2020;          23;07.06.2020;0-64    ;          21;          22;          10;          34;           .
CH03;        2020;          24;14.06.2020;0-64    ;          18;          22;          10;          34;           .
CH03;        2020;          25;21.06.2020;0-64    ;          29;          22;          10;          35;           .
CH03;        2020;          26;28.06.2020;0-64    ;          23;          22;          10;          35;           .
CH03;        2020;          27;05.07.2020;0-64    ;          26;          22;          10;          35;           .
CH03;        2020;          28;12.07.2020;0-64    ;          24;          22;          10;          35;           .
CH03;        2020;          29;19.07.2020;0-64    ;          30;          22;          10;          35;           .
CH03;        2020;          30;26.07.2020;0-64    ;          24;          22;          10;          35;           .
CH03;        2020;          31;02.08.2020;0-64    ;          23;          23;          10;          35;           .
CH03;        2020;          32;09.08.2020;0-64    ;          30;          23;          10;          35;           .
CH03;        2020;          33;16.08.2020;0-64    ;          16;          23;          10;          35;           .
CH03;        2020;          34;23.08.2020;0-64    ;          18;          23;          10;          35;           .
CH03;        2020;          35;30.08.2020;0-64    ;          25;          23;          10;          35;           .
CH03;        2020;          36;06.09.2020;0-64    ;          17;          23;          10;          35;           .
CH03;        2020;          37;13.09.2020;0-64    ;          24;          23;          10;          35;           .
CH03;        2020;          38;20.09.2020;0-64    ;          18;          23;          10;          35;           .
CH03;        2020;          39;27.09.2020;0-64    ;          19;          23;          10;          35;           .
CH03;        2020;          40;04.10.2020;0-64    ;          16;          23;          10;          35;           .
CH03;        2020;          41;11.10.2020;0-64    ;          29;          22;          10;          35;           .
CH03;        2020;          42;18.10.2020;0-64    ;          18;          22;          10;          35;           .
CH03;        2020;          43;25.10.2020;0-64    ;          26;          22;          10;          34;           .
CH03;        2020;          44;01.11.2020;0-64    ;          20;          22;          10;          34;           .
CH03;        2020;          45;08.11.2020;0-64    ;          25;          22;          10;          34;           .
CH03;        2020;          46;15.11.2020;0-64    ;          17;          22;          10;          34;           .
CH03;        2020;          47;22.11.2020;0-64    ;          25;          22;          10;          34;           .
CH03;        2020;          48;29.11.2020;0-64    ;          28;          22;          10;          34;           .
CH03;        2020;          49;06.12.2020;0-64    ;          22;          22;          10;          34;           .
CH03;        2020;          50;13.12.2020;0-64    ;          34;          22;          10;          34;          12
CH03;        2020;          51;20.12.2020;0-64    ;          19;          22;          10;          34;           .
CH03;        2020;          52;27.12.2020;0-64    ;          19;          22;          10;          34;           .
CH03;        2020;          53;03.01.2021;0-64    ;          30;          21;          10;          33;           .
CH03;        2021;           1;10.01.2021;0-64    ;          40;          26;          13;          39;          14
CH03;        2021;           2;17.01.2021;0-64    ;          32;          26;          13;          39;           .
CH03;        2021;           3;24.01.2021;0-64    ;          22;          25;          12;          38;           .
CH03;        2021;           4;31.01.2021;0-64    ;          29;          25;          12;          38;           .
CH03;        2021;           5;07.02.2021;0-64    ;          29;          25;          12;          38;           .
CH03;        2021;           6;14.02.2021;0-64    ;          32;          25;          12;          38;           .
CH03;        2021;           7;21.02.2021;0-64    ;          19;          25;          12;          37;           .
CH03;        2021;           8;28.02.2021;0-64    ;          17;          24;          12;          37;           .
CH03;        2021;           9;07.03.2021;0-64    ;          19;          24;          12;          37;           .
CH03;        2021;          10;14.03.2021;0-64    ;          26;          24;          11;          37;           .
CH03;        2021;          11;21.03.2021;0-64    ;          24;          24;          11;          36;           .
CH03;        2021;          12;28.03.2021;0-64    ;          31;          24;          11;          36;           .
CH03;        2021;          13;04.04.2021;0-64    ;          27;          24;          11;          36;           .
CH03;        2021;          14;11.04.2021;0-64    ;          20;          23;          11;          36;           .
CH03;        2021;          15;18.04.2021;0-64    ;          27;          23;          11;          36;           .
CH03;        2021;          16;25.04.2021;0-64    ;          34;          23;          11;          35;           .
CH03;        2021;          17;02.05.2021;0-64    ;          20;          23;          11;          35;           .
CH03;        2021;          18;09.05.2021;0-64    ;          18;          23;          10;          35;           .
CH03;        2021;          19;16.05.2021;0-64    ;          24;          23;          10;          35;           .
CH03;        2021;          20;23.05.2021;0-64    ;          19;          22;          10;          35;           .
CH03;        2021;          21;30.05.2021;0-64    ;          21;          22;          10;          34;           .
CH03;        2021;          22;06.06.2021;0-64    ;          32;          22;          10;          34;           .
CH03;        2021;          23;13.06.2021;0-64    ;          21;          22;          10;          34;           .
CH03;        2021;          24;20.06.2021;0-64    ;          20;          22;          10;          34;           .
CH03;        2021;          25;27.06.2021;0-64    ;          11;          22;          10;          35;           .
CH03;        2021;          26;04.07.2021;0-64    ;          24;          22;          10;          35;           .
CH03;        2021;          27;11.07.2021;0-64    ;          23;          22;          10;          35;           .
CH03;        2021;          28;18.07.2021;0-64    ;          25;          22;          10;          35;           .
CH03;        2021;          29;25.07.2021;0-64    ;          18;          22;          10;          35;           .
CH03;        2021;          30;01.08.2021;0-64    ;          22;          22;          10;          35;           .
CH03;        2021;          31;08.08.2021;0-64    ;          22;          23;          10;          35;           .
CH03;        2021;          32;15.08.2021;0-64    ;          14;          23;          10;          35;           .
CH03;        2021;          33;22.08.2021;0-64    ;          26;          23;          10;          35;           .
CH03;        2021;          34;29.08.2021;0-64    ;          21;          23;          10;          35;           .
CH03;        2021;          35;05.09.2021;0-64    ;          23;          23;          10;          35;           .
CH03;        2021;          36;12.09.2021;0-64    ;          25;          23;          10;          35;           .
CH03;        2021;          37;19.09.2021;0-64    ;          32;          23;          10;          35;           .
CH03;        2021;          38;26.09.2021;0-64    ;          25;          23;          10;          35;           .
CH03;        2021;          39;03.10.2021;0-64    ;          18;          23;          10;          35;           .
CH03;        2021;          40;10.10.2021;0-64    ;          25;          23;          10;          35;           .
CH03;        2021;          41;17.10.2021;0-64    ;          22;          22;          10;          35;           .
CH03;        2021;          42;24.10.2021;0-64    ;          22;          22;          10;          35;           .
CH03;        2021;          43;31.10.2021;0-64    ;          26;          22;          10;          34;           .
CH03;        2021;          44;07.11.2021;0-64    ;          17;          22;          10;          34;           .
CH03;        2021;          45;14.11.2021;0-64    ;          19;          22;          10;          34;           .
CH03;        2021;          46;21.11.2021;0-64    ;          25;          22;          10;          34;           .
CH03;        2021;          47;28.11.2021;0-64    ;          26;          22;          10;          34;           .
CH03;        2021;          48;05.12.2021;0-64    ;          26;          22;          10;          34;           .
CH03;        2021;          49;12.12.2021;0-64    ;          31;          22;          10;          34;           .
CH03;        2021;          50;19.12.2021;0-64    ;          25;          22;          10;          34;           .
CH03;        2021;          51;26.12.2021;0-64    ;          23;          22;          10;          34;           .
CH03;        2021;          52;02.01.2022;0-64    ;        25.6;          22;          10;          34;           .
CH03;        2022;           1;09.01.2022;0-64    ;        21.9;          26;          14;          40;           .
CH03;        2022;           2;16.01.2022;0-64    ;        30.2;          26;          14;          40;           .
CH03;        2022;           3;23.01.2022;0-64    ;        12.7;          26;          14;          39;           .
CH03;        2022;           4;30.01.2022;0-64    ;        19.5;          25;          13;          39;           .
CH03;        2022;           5;06.02.2022;0-64    ;           .;          25;          13;          39;           .
CH03;        2022;           6;13.02.2022;0-64    ;           .;          25;          13;          39;           .
CH03;        2022;           7;20.02.2022;0-64    ;           .;          25;          13;          39;           .
CH03;        2022;           8;27.02.2022;0-64    ;           .;          25;          13;          39;           .
CH03;        2022;           9;06.03.2022;0-64    ;           .;          25;          13;          38;           .
CH03;        2022;          10;13.03.2022;0-64    ;           .;          25;          13;          38;           .
CH03;        2022;          11;20.03.2022;0-64    ;           .;          24;          13;          38;           .
CH03;        2022;          12;27.03.2022;0-64    ;           .;          24;          13;          38;           .
CH03;        2022;          13;03.04.2022;0-64    ;           .;          24;          12;          38;           .
CH03;        2022;          14;10.04.2022;0-64    ;           .;          24;          12;          38;           .
CH03;        2022;          15;17.04.2022;0-64    ;           .;          24;          12;          37;           .
CH03;        2022;          16;24.04.2022;0-64    ;           .;          24;          12;          37;           .
CH03;        2022;          17;01.05.2022;0-64    ;           .;          24;          12;          37;           .
CH03;        2022;          18;08.05.2022;0-64    ;           .;          24;          12;          37;           .
CH03;        2022;          19;15.05.2022;0-64    ;           .;          23;          12;          37;           .
CH03;        2022;          20;22.05.2022;0-64    ;           .;          23;          12;          37;           .
CH03;        2022;          21;29.05.2022;0-64    ;           .;          23;          12;          36;           .
CH03;        2022;          22;05.06.2022;0-64    ;           .;          23;          12;          36;           .
