"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2022-W08";"CH063";"Y50T54";"T";"P";1
"2022-W08";"CH063";"Y50T54";"M";"P";1
"2022-W08";"CH063";"Y65T69";"T";"P";1
"2022-W08";"CH063";"Y65T69";"M";"P";1
"2022-W08";"CH063";"Y70T74";"T";"P";1
"2022-W08";"CH063";"Y70T74";"M";"P";1
"2022-W08";"CH063";"Y75T79";"T";"P";3
"2022-W08";"CH063";"Y75T79";"M";"P";3
"2022-W08";"CH063";"Y80T84";"T";"P";2
"2022-W08";"CH063";"Y80T84";"F";"P";1
"2022-W08";"CH063";"Y80T84";"M";"P";1
"2022-W08";"CH063";"Y85T89";"T";"P";7
"2022-W08";"CH063";"Y85T89";"F";"P";2
"2022-W08";"CH063";"Y85T89";"M";"P";5
"2022-W08";"CH063";"Y_GE90";"T";"P";8
"2022-W08";"CH063";"Y_GE90";"F";"P";7
"2022-W08";"CH063";"Y_GE90";"M";"P";1
"2022-W08";"CH064";"_T";"T";"P";8
"2022-W08";"CH064";"_T";"F";"P";6
"2022-W08";"CH064";"_T";"M";"P";2
"2022-W08";"CH064";"Y55T59";"T";"P";1
"2022-W08";"CH064";"Y55T59";"F";"P";1
"2022-W08";"CH064";"Y70T74";"T";"P";1
"2022-W08";"CH064";"Y70T74";"F";"P";1
"2022-W08";"CH064";"Y80T84";"T";"P";3
"2022-W08";"CH064";"Y80T84";"F";"P";2
"2022-W08";"CH064";"Y80T84";"M";"P";1
"2022-W08";"CH064";"Y85T89";"T";"P";1
"2022-W08";"CH064";"Y85T89";"F";"P";1
"2022-W08";"CH064";"Y_GE90";"T";"P";2
"2022-W08";"CH064";"Y_GE90";"F";"P";1
"2022-W08";"CH064";"Y_GE90";"M";"P";1
"2022-W08";"CH065";"_T";"T";"P";6
"2022-W08";"CH065";"_T";"F";"P";2
"2022-W08";"CH065";"_T";"M";"P";4
"2022-W08";"CH065";"Y55T59";"T";"P";1
"2022-W08";"CH065";"Y55T59";"M";"P";1
"2022-W08";"CH065";"Y70T74";"T";"P";1
"2022-W08";"CH065";"Y70T74";"M";"P";1
"2022-W08";"CH065";"Y75T79";"T";"P";1
"2022-W08";"CH065";"Y75T79";"M";"P";1
"2022-W08";"CH065";"Y80T84";"T";"P";1
"2022-W08";"CH065";"Y80T84";"F";"P";1
"2022-W08";"CH065";"Y85T89";"T";"P";1
"2022-W08";"CH065";"Y85T89";"F";"P";1
